Paper ID,Title,URL,Summary,First Author,Publish Date,Update Date,Code URL,Stars
2410.18980v1,非常巨大的恒星和发射氮的星系,http://arxiv.org/abs/2410.18980v1,最近使用詹姆斯·韦伯太空望远镜（JWST）对高红移星系的研究，如GN-z11，揭示了氮（N）含量的显著升高。这一现象也在引力透镜星系，如红移为2.37的太阳爆发弧，以及球状星团（GCs）中得到体现。我们提出，这一现象可能源自非常大质量星体（VMSs）的存在，其质量范围从100到1000太阳质量。在太阳爆发弧中观测到的He {\sc ii}也可能源自VMSs的不成比例的大量贡献。我们构建了一个全新的大质量星体演化框架，不再依赖于荷兰或其他质量损失“食谱”，而是考虑了与$\Gamma$或$L/M$相关的风的物理性质。我们讨论了质量损失转折点以及从光学薄到光学厚风的质量损失率转变，然后研究VMSs的蒸发质量损失历史。我们的新颖演化模型显示，由于风主导性质的自我调节效应，大质量星体在主序零年龄时在赫罗图上呈现出垂直演化，我们讨论了何种风的物理性质决定了恒星的质量上限。我们在Vink（2023）中对太阳爆发弧的估计表明，形成中的星系中发现的大量氮很可能源自VMSs。我们评估了先前假设的优点和缺点，包括快速旋转的大质量星体和超大质量星体（SMSs），并得出结论，只有我们的VMS模型满足相关标准。最后，我们主张在人口合成和化学演化模型中纳入VMSs，强调需要一个自洽的风演化方法，而目前尚不存在此类方法。质量损失率的微小不准确会显著影响VMS的恒星演化，以及它们的电离和化学反馈。,约里克·S·芬克,2024-10-24,2024-10-24,,N/A
2410.18979v1,PixelGaussian：从任意视图实现通用的3D高斯重建,http://arxiv.org/abs/2410.18979v1,我们提出了一种名为PixelGaussian的高效前馈框架，用于从任意视角学习可泛化的3D高斯重建。大多数现有的方法依赖于统一的像素级高斯表示，它们为每个视角学习固定数量的3D高斯分布，但不能很好地泛化到更多的输入视角。与之不同的是，我们的PixelGaussian根据几何复杂性动态调整高斯分布和数量，从而实现更高效的表示和显著提高重建质量。具体来说，我们引入了一个级联高斯适配器（Cascade Gaussian Adapter），根据关键点评分器识别的局部几何复杂性来调整高斯分布。CGA利用上下文感知超网络中的可变形注意力来指导高斯分布的剪枝和分割，确保在复杂区域的准确表示同时减少冗余。此外，我们设计了一个基于Transformer的迭代高斯细化模块，通过直接的图像-高斯交互来细化高斯表示。随着输入视角的增加，我们的PixelGaussian能够有效地减少高斯分布的冗余。我们在大规模的ACID和RealEstate10K数据集上进行了广泛实验，我们的方法在各种数量的视角下实现了最先进的性能，并具有良好的泛化能力。代码：https://github.com/Barrybarry-Smith/PixelGaussian。,辛菲,2024-10-24,2024-10-24,https://github.com/barrybarry-smith/pixelgaussian,0
2410.18978v1,Framer：交互式帧插值,http://arxiv.org/abs/2410.18978v1,我们提出了一种名为Framer的交互式帧插值方法，旨在根据用户创意在两幅图像之间生成平滑过渡的帧。具体来说，除了输入起始和结束帧，我们的方法还支持通过自定义选定关键点的轨迹来定制过渡过程。这样的设计有两个明显的优势。首先，结合人类交互可以缓解将一张图转换为另一张图时可能出现的多种可能性问题，从而实现对局部运动的更精细控制。其次，作为最基本的交互形式，关键点有助于建立帧之间的对应关系，增强模型处理挑战性情况（例如，起始和结束帧上的对象形状和风格不同）的能力。值得一提的是，我们的系统还提供了一个“自动驾驶”模式，其中我们引入了一个模块来自动估计关键点并优化轨迹，以简化实际使用。广泛的实验结果表明，Framer在图像变形、延时视频生成、卡通插值等应用上表现出色。代码、模型和界面将被发布，以促进进一步的研究。,温王,2024-10-24,2024-10-24,,N/A
2410.18977v1,MotionCLR：通过理解注意力机制实现运动生成与训练免费编辑,http://arxiv.org/abs/2410.18977v1,该研究深入探讨了人类运动生成的交互式编辑问题。以往的运动扩散模型缺乏对文本-运动对应关系的显式建模和良好的可解释性，因此限制了它们的细粒度编辑能力。为了解决这个问题，我们提出了一种基于注意力的运动扩散模型，称为MotionCLR，其中CLeaR模型化了注意力机制。技术上，MotionCLR分别使用自注意力和交叉注意力来建模模态内和模态间的交互。具体来说，自注意力机制旨在衡量帧之间的序列相似性，影响运动特征的顺序。相反，交叉注意力机制致力于寻找精细的单词序列对应关系，并激活运动序列中的相应时间步。基于这些关键特性，我们开发了一组简单但有效的运动编辑方法，通过操作注意力图，例如运动的强调或去强调、原地运动替换和基于示例的运动生成等。为了进一步验证注意力机制的可解释性，我们还通过注意力图探索了计数动作和有依据的运动生成的潜力。实验结果表明，我们的方法具有良好的生成和编辑能力，同时具有良好的可解释性。,陈令豪,2024-10-24,2024-10-24,,N/A
2410.18976v1,CAMEL-Bench：一个全面的阿拉伯语LMM基准,http://arxiv.org/abs/2410.18976v1,"近年来，对能够执行多种视觉推理和理解任务的大型多模态模型（LMMs）的兴趣显著增长。这催生了多个LMM基准测试，用于在不同任务上评估这些模型。然而，大多数现有的LMM评估基准主要以英语为中心。在这项工作中，我们为拥有超过4亿人口的阿拉伯语社区开发了一个全面的LMM评估基准。这个提议的基准测试名为CAMEL-Bench，涵盖了八个不同的领域和38个子领域，包括多图像理解、复杂视觉感知、手写文档理解、视频理解、医学成像、植物疾病识别以及基于遥感的土地使用理解，以评估广义场景的泛化能力。我们的CAMEL-Bench包含了大约29,036个问题，这些问题是从更大的样本池中筛选出来的，并由母语者手动验证质量，以确保可靠的模型评估。我们对包括GPT-4系列在内的闭源LMMs以及开源LMMs进行了评估。我们的分析显示，特别是在最佳的开源模型中，仍需要显著的改进，即使是闭源的GPT-4o也只达到了62%的总体得分。我们的基准测试和评估脚本都已开源。",萨拉·加布尔,2024-10-24,2024-10-24,,N/A
2410.18975v1,无界：一个生成式的无限角色生活模拟游戏,http://arxiv.org/abs/2410.18975v1,我们引入了生成无限游戏的概念，这是一种视频游戏，通过使用生成模型超越了传统有限、硬编码系统的界限。受到詹姆斯·P·卡尔斯关于有限游戏和无限游戏区别的启发，我们利用最近的生成AI进展创建了《无界》（Unbounded）：一个完全封装在生成模型中的角色生活模拟游戏。具体来说，《无界》受到了沙盒生活模拟游戏的启发，让你能够通过喂养、玩耍和引导你的自主虚拟角色，在虚拟世界中与其互动，其机制由大语言模型（LLM）生成，部分机制可以是自涌现的。为了开发《无界》，我们在LLM和视觉生成领域都提出了技术创新。具体包括：(1) 一种专门的、精炼的大语言模型（LLM），它能实时动态地生成游戏机制、剧情和角色互动；(2) 一种新的动态区域图像提示适配器（IP-Adapter），用于视觉模型，以确保角色在多个环境中的视觉生成一致但灵活。我们通过定性和定量分析评估了我们的系统，显示在角色生活模拟、用户指令遵循、剧情连贯性和角色及环境的视觉一致性方面，与传统相关方法相比有显著的改进。,李嘉潞,2024-10-24,2024-10-24,,N/A
2410.18974v1,3D-Adapter：用于高质量3D生成的几何一致多视图扩散,http://arxiv.org/abs/2410.18974v1,多视图图像扩散模型在开放域3D对象生成方面取得了显著进步。然而，大多数现有模型依赖于缺乏内在3D偏置的2D网络架构，导致几何一致性受损。为解决这一挑战，我们引入了3D-Adapter，这是一个设计用于将3D几何意识注入预训练图像扩散模型的插件模块。我们的方法核心思想是3D反馈增强：在采样循环的每个去噪步骤中，3D-Adapter将中间多视图特征解码为一致的3D表示，然后重新编码渲染的RGBD视图，通过特征添加来增强预训练的基础模型。我们研究了3D-Adapter的两种变体：一种基于高斯散射的快速前向版本，另一种是利用神经场和网格的无需训练的多功能版本。我们的大量实验表明，3D-Adapter不仅显著提高了Instant3D和Zero123++等文本到多视图模型的几何质量，而且还使使用纯文本到图像的Stable Diffusion实现高质量3D生成成为可能。此外，我们通过在文本到3D、图像到3D、文本到纹理和文本到头像任务中展示高质量的结果，展示了3D-Adapter的广泛应用潜力。,陈汉声,2024-10-24,2024-10-24,https://github.com/Lakonik/MVEdit,235
2410.18972v1,深入理解认知退化：一项利用非侵入式模态与深度学习技术的调查,http://arxiv.org/abs/2410.18972v1,认知衰退是衰老的自然过程，往往会导致认知能力的减弱。然而，在某些情况下，这种衰退更为显著，通常与阿尔茨海默病等疾病有关。异常认知衰退的早期检测至关重要，因为它可以及时启动专业的干预措施。虽然医疗数据有助于检测，但这些方法通常涉及侵入性程序。另一种替代方法是使用非侵入性的技术，如语音或笔迹分析，这些技术不会影响日常生活。这篇综述回顾了使用深度学习技术自动估计认知衰退的最相关方法，包括音频、文本和视觉处理。我们讨论了每种模态和方法的关键特征和优点，包括最先进的如Transformer架构和基础模型。此外，我们还介绍了结合不同模态开发多模态模型的工作，并突出了最重要的数据集以及使用这些资源的研究的定量结果。从这次回顾中，可以得出几个结论。在大多数情况下，文本模态取得了最佳结果，对于检测认知衰退最为相关。此外，将不同模态的个体方法结合到一个多模态模型中，几乎在所有情况下都能持续提高性能。,大卫·奥尔蒂斯-佩雷斯,2024-10-24,2024-10-24,,N/A
2410.18970v1,概念漂移：通过基础模型的视角揭示偏见,http://arxiv.org/abs/2410.18970v1,数据集和预训练模型都带有内在的偏见。大多数方法依赖于通过分析分类错误的样本，进行半自动的人机验证来发现这些偏见。相反，我们提出了一种名为ConceptDrift的方法，该方法分析在基础模型之上学习的线性探查器的权重。我们利用权重更新轨迹，这个轨迹从类别文本表示的嵌入开始，然后朝着揭示隐藏偏见的嵌入漂移。与以往的工作不同，通过这种方法，我们可以精确地识别出数据集中的不良相关性，而不仅仅是提供错误预测的可能解释。我们通过实验验证了我们的方法的有效性，显著提高了带有偏见增强提示的零样本性能。我们的方法不局限于单一模态，在本文中，我们对图像（Waterbirds，CelebA，Nico++）和文本数据集（CivilComments）都进行了实验。,克里斯蒂安·丹尼尔·帕杜拉鲁,2024-10-24,2024-10-24,,N/A
2410.18968v1,通过热散射激发的暗物质发射：冻结入和电子伏特冷暗物质的新限制,http://arxiv.org/abs/2410.18968v1,最近，其中一位作者注意到一种类似于激光工作原理的玻色子暗物质受激发射过程，该过程发生在母粒子在热等离子体中的两体衰变中（2301.08735）。在这篇论文中，我们展示在$2 \to 2$的过程中，如果末态包含一个玻色子粒子（如轴子或暗光子），由于热母粒子的小角度散射，也会发生受激发射，因此这一现象更为普遍。由此得出两个重要结论：(1) 在研究玻色子暗物质的冻结过程生产时必须谨慎，因为由于这种效应，暗物质的丰度和动量分布可能会有显著差异。(2) eV质量范围的玻色子暗物质特别且理论上有很好的动机，因为暗物质的冻结过程或其他热生产模型包括了冷eV暗物质的参数区域。我们还研究了暗物质质量对受激发射的影响。,小黛 Sakura,2024-10-24,2024-10-24,,N/A
